exp_id,seed,alpha,BA_before,ASR_before,BA_after_ascent,ASR_after_ascent,BA_after_recovery,ASR_after_recovery,stored_BA,stored_ASR,reproduced_checkpoint_identical,runtime_sec
cifar10_iid,0,0.25,0.6886,0.9093333333333333,0.3765,0.021444444444444443,0.6874,0.9114444444444444,0.6874,0.9114444444444444,True,29.67548894882202
cifar10_iid,0,0.5,0.6886,0.9093333333333333,0.3188,0.0012222222222222222,0.6873,0.886,0.6873,0.886,True,25.137798070907593
cifar10_iid,0,0.75,0.6886,0.9093333333333333,0.2792,0.0005555555555555556,0.6801,0.8364444444444444,0.6801,0.8364444444444444,True,25.45124101638794
cifar10_iid,0,1.0,0.6886,0.9093333333333333,0.3751,0.001888888888888889,0.6899,0.7164444444444444,0.6899,0.7164444444444444,True,27.197611093521118
cifar10_iid,1,0.25,0.6859,0.9164444444444444,0.3246,0.00044444444444444447,0.6798,0.8948888888888888,0.6798,0.8948888888888888,True,28.368874073028564
cifar10_iid,1,0.5,0.6859,0.9164444444444444,0.3906,0.009,0.681,0.8927777777777778,0.681,0.8927777777777778,True,41.566869020462036
cifar10_iid,1,0.75,0.6859,0.9164444444444444,0.3249,0.0012222222222222222,0.6803,0.8401111111111111,0.6803,0.8401111111111111,True,44.26183819770813
cifar10_iid,1,1.0,0.6859,0.9164444444444444,0.3118,0.0007777777777777777,0.6809,0.7484444444444445,0.6809,0.7484444444444445,True,44.56786274909973
cifar10_iid,2,0.25,0.6921,0.9155555555555556,0.4537,0.005555555555555556,0.6931,0.9148888888888889,0.6931,0.9148888888888889,True,39.24406814575195
cifar10_iid,2,0.5,0.6921,0.9155555555555556,0.5002,0.002777777777777778,0.695,0.8906666666666667,0.695,0.8906666666666667,True,39.18823194503784
cifar10_iid,2,0.75,0.6921,0.9155555555555556,0.4859,0.012666666666666666,0.6924,0.8595555555555555,0.6924,0.8595555555555555,True,38.40207099914551
cifar10_iid,2,1.0,0.6921,0.9155555555555556,0.4659,0.010555555555555556,0.6947,0.7984444444444444,0.6947,0.7984444444444444,True,35.514816999435425
cifar10_iid,3,0.25,0.6825,0.9108888888888889,0.4834,0.00011111111111111112,0.6912,0.899,0.6912,0.899,True,33.43956184387207
cifar10_iid,3,0.5,0.6825,0.9108888888888889,0.4931,0.0,0.6914,0.8773333333333333,0.6914,0.8773333333333333,True,36.19683599472046
cifar10_iid,3,0.75,0.6825,0.9108888888888889,0.44,0.0,0.6895,0.8332222222222222,0.6895,0.8332222222222222,True,38.399781942367554
cifar10_iid,3,1.0,0.6825,0.9108888888888889,0.4664,0.0005555555555555556,0.6899,0.7265555555555555,0.6899,0.7265555555555555,True,36.27617287635803
cifar10_iid,4,0.25,0.6821,0.9066666666666666,0.3604,0.0,0.6777,0.8826666666666667,0.6777,0.8826666666666667,True,33.65686082839966
cifar10_iid,4,0.5,0.6821,0.9066666666666666,0.363,0.0023333333333333335,0.6819,0.857,0.6819,0.857,True,36.402069091796875
cifar10_iid,4,0.75,0.6821,0.9066666666666666,0.382,0.00022222222222222223,0.6845,0.816,0.6845,0.816,True,37.07301878929138
cifar10_iid,4,1.0,0.6821,0.9066666666666666,0.3621,0.008222222222222223,0.6805,0.7133333333333334,0.6805,0.7133333333333334,True,41.05753183364868
mnist_iid,0,0.25,0.9862,0.9922394678492239,0.8014,0.09068736141906873,0.9865,0.9801552106430155,0.9865,0.9801552106430155,True,40.598679065704346
mnist_iid,0,0.5,0.9862,0.9922394678492239,0.8062,0.08636363636363636,0.9866,0.9445676274944568,0.9866,0.9445676274944568,True,43.22501182556152
mnist_iid,0,0.75,0.9862,0.9922394678492239,0.8012,0.09434589800443459,0.9863,0.8645232815964523,0.9863,0.8645232815964523,True,45.60456085205078
mnist_iid,0,1.0,0.9862,0.9922394678492239,0.8184,0.10343680709534368,0.9856,0.5057649667405765,0.9856,0.5057649667405765,True,51.10803198814392
mnist_iid,1,0.25,0.9845,0.9939024390243902,0.7789,0.08592017738359202,0.9839,0.9717294900221729,0.9839,0.9717294900221729,True,36.889764070510864
mnist_iid,1,0.5,0.9845,0.9939024390243902,0.8153,0.10909090909090909,0.9855,0.9337028824833703,0.9855,0.9337028824833703,True,40.187626123428345
mnist_iid,1,0.75,0.9845,0.9939024390243902,0.805,0.11108647450110865,0.9855,0.7871396895787139,0.9855,0.7871396895787139,True,42.73742079734802
mnist_iid,1,1.0,0.9845,0.9939024390243902,0.8083,0.09412416851441242,0.9863,0.35210643015521065,0.9863,0.35210643015521065,True,47.4955780506134
mnist_iid,2,0.25,0.9858,0.9970066518847006,0.8134,0.12106430155210643,0.9862,0.9847006651884701,0.9862,0.9847006651884701,True,43.651561975479126
