exp_id,method,alpha,n,BA,BA_std,ASR,ASR_std,cfASR,dASR,gap,BPR,ASR_ci95_half
cifar10_dirichlet,federaser,0.25,5,0.45856,0.009284018526478706,0.6829333333333334,0.2707054410285637,0.8951333333333332,0.2399333333333334,-0.2122,-0.18808193668528908,0.33612520024304027
cifar10_dirichlet,federaser,0.5,5,0.44566,0.011727659613068571,0.42893333333333333,0.34549185372111785,0.812711111111111,0.4939333333333334,-0.38377777777777783,-3.7909831921698265,0.4289847964381941
cifar10_dirichlet,federaser,0.75,5,0.44576000000000005,0.015816700035089497,0.05499999999999994,0.03181456689421791,0.47455555555555556,0.8678666666666668,-0.41955555555555557,-1.0842814430781533,0.039503002330995796
cifar10_dirichlet,federaser,1.0,5,0.41784,0.026599680449208397,0.02795555555555552,0.03208636108849418,0.029222222222222198,0.8949111111111112,-0.0012666666666666798,-0.0015333005749740979,0.03984047939694944
cifar10_dirichlet,full_retrain,0.25,5,0.66374,0.004426398084221535,0.8951333333333332,0.04286487525777018,0.8951333333333332,0.027733333333333388,0.0,0.0,0.053223772395068605
cifar10_dirichlet,full_retrain,0.5,5,0.6641600000000001,0.00445286424675175,0.812711111111111,0.05877050994764447,0.812711111111111,0.11015555555555559,0.0,0.0,0.07297322635806644
cifar10_dirichlet,full_retrain,0.75,5,0.666,0.008758424515858981,0.47455555555555556,0.14600663776556508,0.47455555555555556,0.44831111111111116,0.0,0.0,0.18129118561228058
cifar10_dirichlet,full_retrain,1.0,5,0.66508,0.00725995867756832,0.029222222222222198,0.009867955371295324,0.029222222222222198,0.8936444444444446,0.0,0.0,0.012252684920418885
cifar10_dirichlet,grad_negation,0.25,5,0.66498,0.008303433024960238,0.9159111111111111,0.030945731072394043,0.8951333333333332,0.006955555555555604,0.020777777777777784,0.819366852886406,0.038424200170687366
cifar10_dirichlet,grad_negation,0.5,5,0.6654,0.00225499445675593,0.8897777777777778,0.03753303072044318,0.812711111111111,0.033088888888888876,0.0770666666666667,0.707745976995471,0.04660341298905024
cifar10_dirichlet,grad_negation,0.75,5,0.66284,0.005073756005170139,0.8447555555555557,0.06381780586700708,0.47455555555555556,0.07811111111111113,0.37020000000000003,0.8292397839461477,0.07924027198941987
cifar10_dirichlet,grad_negation,1.0,5,0.6655800000000001,0.0012477980605850943,0.7810444444444444,0.08663284952767022,0.029222222222222198,0.14182222222222224,0.7518222222222223,0.8402518532528701,0.1075688903203123
cifar10_dirichlet,short_retrain,0.25,5,0.67014,0.0026168683574073807,0.922,0.023598624149055725,0.8951333333333332,0.0008666666666667045,0.026866666666666685,0.9310986964618239,0.029301562013024463
cifar10_dirichlet,short_retrain,0.5,5,0.6698000000000001,0.0026804850307360372,0.8996666666666666,0.03373059570211818,0.812711111111111,0.023200000000000064,0.08695555555555552,0.801005683470896,0.04188206632128686
cifar10_dirichlet,short_retrain,0.75,5,0.67,0.005778408085277486,0.8663333333333334,0.05171043546328411,0.47455555555555556,0.056533333333333366,0.3917777777777778,0.8770509035834113,0.0642069860461992
cifar10_dirichlet,short_retrain,1.0,5,0.66734,0.004205115931814472,0.8530888888888889,0.05391530852946276,0.029222222222222198,0.06977777777777786,0.8238666666666667,0.9213777513351111,0.06694469755308234
cifar10_iid,federaser,0.25,5,0.41302000000000005,0.03294642620983344,0.48599999999999993,0.1292088222726545,0.8827555555555555,0.4257777777777777,-0.39675555555555564,,0.16043394286626408
cifar10_iid,federaser,0.5,5,0.40044,0.05151361955832651,0.32762222222222215,0.2463464212430521,0.8188666666666666,0.5841555555555555,-0.4912444444444445,-5.454069224500216,0.30587948234383733
cifar10_iid,federaser,0.75,5,0.41362,0.05698054053797665,0.24686666666666662,0.2736006867726562,0.6097111111111111,0.6649111111111111,-0.36284444444444447,-1.3391413909466938,0.33972012264943263
cifar10_iid,federaser,1.0,5,0.42284,0.03213165106246487,0.04177777777777772,0.021064422055760507,0.02295555555555554,0.8699999999999999,0.018822222222222178,0.02118542029285065,0.026154934509607194
cifar10_iid,fine_pruning,0.25,5,0.68458,0.002108791122894803,0.8836222222222222,0.010835071085696618,0.8827555555555555,0.02815555555555547,0.00086666666666666,,0.013453517685088118
cifar10_iid,fine_pruning,0.5,5,0.68536,0.004234146903450591,0.8635333333333334,0.010750653152710107,0.8188666666666666,0.04824444444444438,0.04466666666666665,0.487805636290289,0.013348698976895989
cifar10_iid,fine_pruning,0.75,5,0.68536,0.0012621410380777756,0.8229333333333333,0.022557553277705936,0.6097111111111111,0.08884444444444439,0.21322222222222226,0.707608402123563,0.028008901792490867
cifar10_iid,fine_pruning,1.0,5,0.68474,0.0019007893097342853,0.6930888888888889,0.14113738600525047,0.02295555555555554,0.2186888888888888,0.6701333333333335,0.7541781436120031,0.17524521100330762
cifar10_iid,full_retrain,0.25,5,0.6845,0.007015340333868352,0.8827555555555555,0.01134079275213661,0.8827555555555555,0.029022222222222126,0.0,,0.014081454071418196
cifar10_iid,full_retrain,0.5,5,0.68304,0.005260988500272556,0.8188666666666666,0.01220867936559282,0.8188666666666666,0.09291111111111103,0.0,0.0,0.015159077633869783
cifar10_iid,full_retrain,0.75,5,0.6851,0.007478970517390749,0.6097111111111111,0.047250357631411624,0.6097111111111111,0.3020666666666666,0.0,0.0,0.058669067973176406
cifar10_iid,full_retrain,1.0,5,0.68582,0.009000388880487315,0.02295555555555554,0.001462705087445692,0.02295555555555554,0.8888222222222222,0.0,0.0,0.001816188247070808
cifar10_iid,grad_negation,0.25,5,0.68584,0.006830300139818209,0.9005777777777777,0.01302452577274645,0.8827555555555555,0.011199999999999965,0.017822222222222163,,0.01617208474569637
cifar10_iid,grad_negation,0.5,5,0.6873199999999999,0.006019717601349734,0.8807555555555556,0.014545670943957064,0.8188666666666666,0.031022222222222152,0.06188888888888888,0.6409563909321945,0.018060835940830095
cifar10_iid,grad_negation,0.75,5,0.68536,0.00549345064599655,0.8370666666666666,0.015604407417912327,0.6097111111111111,0.07471111111111106,0.22735555555555553,0.7408893376884225,0.01937543090412555
cifar10_iid,grad_negation,1.0,5,0.6871799999999999,0.006233137251817903,0.7406444444444444,0.03511308011356632,0.02295555555555554,0.17113333333333328,0.7176888888888889,0.8073482254579879,0.04359864744305993
cifar10_iid,short_retrain,0.25,5,0.6911799999999999,0.004466206443952176,0.9097333333333333,0.004035796615414031,0.8827555555555555,0.00204444444444436,0.026977777777777767,,0.005011103361432258
cifar10_iid,short_retrain,0.5,5,0.69018,0.002785139134765049,0.8916444444444445,0.0077301717675324596,0.8188666666666666,0.02013333333333329,0.07277777777777775,0.7724872324574172,0.00959827598367623
cifar10_iid,short_retrain,0.75,5,0.69056,0.0023849528297222116,0.876511111111111,0.010491207370878037,0.6097111111111111,0.0352666666666666,0.26680000000000004,0.8773284321330335,0.013026554490109246
cifar10_iid,short_retrain,1.0,5,0.6911400000000001,0.0030253925365148824,0.8373777777777779,0.011823443963604421,0.02295555555555554,0.07439999999999994,0.8144222222222222,0.9162881869287796,0.014680744704387242
cifar10_iid_federaser_dt1,federaser,1.0,5,0.5702200000000001,0.022371343276611715,0.04871111111111106,0.01932704239921967,0.02295555555555554,0.8630666666666666,0.02575555555555552,0.028960082293369653,0.02399769273886881
cifar10_iid_federaser_dt1,full_retrain,1.0,5,0.68582,0.009000388880487315,0.02295555555555554,0.001462705087445692,0.02295555555555554,0.8888222222222222,0.0,0.0,0.001816188247070808
cifar10_iid_federaser_r1,federaser,1.0,5,0.62666,0.004962156789139194,0.0315333333333333,0.005044493391833013,0.02295555555555554,0.8802444444444444,0.008577777777777759,0.009629659486438766,0.006263565833815858
cifar10_iid_federaser_r1,full_retrain,1.0,5,0.68582,0.009000388880487315,0.02295555555555554,0.001462705087445692,0.02295555555555554,0.8888222222222222,0.0,0.0,0.001816188247070808
gtsrb_iid,federaser,0.25,5,0.4364687252573238,0.03563994742977029,0.7812728719172634,0.09467941830056852,0.7816865552903739,0.05306284805091488,-0.0004136833731106071,1.0798867766411069,0.11756002507469077
gtsrb_iid,federaser,0.5,5,0.4561520190023753,0.039764981744132455,0.7134447096260939,0.0456731147156037,0.7238822593476532,0.1208910103420843,-0.010437549721559258,-0.06759887787813838,0.05671066222819574
gtsrb_iid,federaser,0.75,5,0.4551068883610451,0.038871540238088795,0.33848846459824977,0.09493452235315686,0.5936674622116149,0.4958472553699284,-0.2551789976133652,-1.066310612157451,0.11787677859258558
gtsrb_iid,federaser,1.0,5,0.4354394299287411,0.05061341632433647,0.0008750994431184916,0.0010387879759109287,0.00168655529037384,0.8334606205250598,-0.0008114558472553483,-0.0009730164158599679,0.0012898256314555615
gtsrb_iid,full_retrain,0.25,5,0.8268566904196358,0.005520656523438888,0.7816865552903739,0.020927021187405494,0.7816865552903739,0.05264916467780427,0.0,0.0,0.025984328798048826
gtsrb_iid,full_retrain,0.5,5,0.8263974663499605,0.006741780955824751,0.7238822593476532,0.02269809777092972,0.7238822593476532,0.11045346062052504,0.0,0.0,0.028183410829872593
gtsrb_iid,full_retrain,0.75,5,0.8243230403800474,0.008422242983927599,0.5936674622116149,0.019241879065495307,0.5936674622116149,0.24066825775656323,0.0,0.0,0.02389194849341624
