setting,prune_fraction,val_BA,val_ASR,eval_split,n_eval,n_pruned,sec
fine_tuning_reference,,0.659,0.6805339265850946,validation,5000,,
fedup,0.05,0.6516,0.09365962180200223,validation,5000,27245.0,13.554322242736816
fedup,0.1,0.6334,0.06407119021134594,validation,5000,54488.0,18.305119037628174
fedup,0.2,0.5874,0.047163515016685205,validation,5000,108974.0,22.215610027313232
