exp_id,dataset,architecture,partition,seed,method,alpha,run_id,BA,ASR,ASR_before,asr_reduction,cf0_available,cf0_BA,cf0_ASR,history_rounds,history_every,global_u_norm,global_dm_norm,global_cos_u_negdm,global_rho,global_resid_frac,global_cos_u_dr,global_cos_u_d,global_d_norm,global_rel_dist_cf,stem_u_norm,stem_dm_norm,stem_cos_u_negdm,stem_rho,stem_resid_frac,stem_energy,stem_cos_u_dr,stem_cos_u_d,stem_d_norm,stem_rel_dist_cf,layer1_u_norm,layer1_dm_norm,layer1_cos_u_negdm,layer1_rho,layer1_resid_frac,layer1_energy,layer1_cos_u_dr,layer1_cos_u_d,layer1_d_norm,layer1_rel_dist_cf,layer2_u_norm,layer2_dm_norm,layer2_cos_u_negdm,layer2_rho,layer2_resid_frac,layer2_energy,layer2_cos_u_dr,layer2_cos_u_d,layer2_d_norm,layer2_rel_dist_cf,layer3_u_norm,layer3_dm_norm,layer3_cos_u_negdm,layer3_rho,layer3_resid_frac,layer3_energy,layer3_cos_u_dr,layer3_cos_u_d,layer3_d_norm,layer3_rel_dist_cf,layer4_u_norm,layer4_dm_norm,layer4_cos_u_negdm,layer4_rho,layer4_resid_frac,layer4_energy,layer4_cos_u_dr,layer4_cos_u_d,layer4_d_norm,layer4_rel_dist_cf,fc_u_norm,fc_dm_norm,fc_cos_u_negdm,fc_rho,fc_resid_frac,fc_energy,fc_cos_u_dr,fc_cos_u_d,fc_d_norm,fc_rel_dist_cf
cifar10_iid_resnet18,cifar10,resnet18,iid,0,short_retrain,1.0,cifar10_iid_resnet18/seed0/short_retrain_alpha1.00,0.7729,0.5482222222222223,0.8142222222222222,0.2659999999999999,True,0.7754,0.03155555555555556,15,2,7.147021770477295,6.177492141723633,-0.014993228949606419,-0.017192790284752846,0.9998881816864014,0.3511715829372406,-0.22216694056987762,38.05971145629883,1.057786464691162,0.5869587063789368,1.6903990507125854,-0.10247832536697388,-0.03558363392949104,0.9947351217269897,0.006697350724536442,0.6397870779037476,-0.11658132821321487,4.237113952636719,1.0254217386245728,1.3420265913009644,2.0539047718048096,-0.08790624886751175,-0.05743775516748428,0.9961293935775757,0.03501160471503376,0.4604790508747101,-0.27244043350219727,13.558235168457031,1.031374454498291,2.4379045963287354,1.9835542440414429,-0.04027850180864334,-0.04950297251343727,0.9991862177848816,0.1155415065261969,0.4088360667228699,-0.2625369131565094,15.922628402709961,1.0506314039230347,4.631717205047607,3.0643234252929688,0.009177911095321178,0.01386692002415657,0.9999556541442871,0.4171830167898699,0.3354906737804413,-0.21644063293933868,20.615039825439453,1.0713399648666382,4.627119064331055,3.539978265762329,-0.028538163751363754,-0.037192851305007935,0.9995968341827393,0.4184091907503992,0.33214572072029114,-0.21986332535743713,22.7014217376709,1.0628373622894287,0.6069515347480774,2.351539134979248,0.14992716908454895,0.038697417825460434,0.9886972904205322,0.007161367376030735,0.6876183748245239,-0.2555883824825287,7.947210788726807,1.022189974784851
cifar10_iid_resnet18,cifar10,resnet18,iid,0,federaser,1.0,cifar10_iid_resnet18/seed0/federaser_alpha1.00,0.2728,0.019333333333333334,0.8142222222222222,0.7948888888888889,True,0.7754,0.03155555555555556,15,2,30.669336318969727,6.177492141723633,0.25807473063468933,1.2699189186096191,0.9663745760917664,-0.5189406275749207,0.44784989953041077,38.05971145629883,0.9652152061462402,3.494419574737549,1.6903990507125854,0.2463565319776535,0.5092720985412598,0.9691792130470276,0.012900868412812313,-0.672369658946991,0.2901556193828583,4.237113952636719,1.09615957736969,9.221508026123047,2.0539047718048096,0.3192856013774872,1.4335006475448608,0.9476585388183594,0.08984094295063294,-0.5826833844184875,0.4708835780620575,13.558235168457031,0.9066755175590515,12.527789115905762,1.9835542440414429,0.2702713906764984,1.706930160522461,0.962786078453064,0.16581818141955626,-0.5744842290878296,0.47305044531822205,15.922628402709961,0.9352408647537231,17.908672332763672,3.0643234252929688,0.21977388858795166,1.283907175064087,0.9755842089653015,0.33897288157364613,-0.47762754559516907,0.4227246046066284,20.615039825439453,1.0102076530456543,18.53314781188965,3.539978265762329,0.27652716636657715,1.443476676940918,0.9611840844154358,0.3644614218157638,-0.5019615292549133,0.4509453773498535,22.7014217376709,0.9658951163291931,5.148949146270752,2.351539134979248,0.36944589018821716,0.8089413642883301,0.929252028465271,0.028009544628804336,-0.5974847078323364,0.47502824664115906,7.947210788726807,0.8967890739440918
cifar10_iid_resnet18,cifar10,resnet18,iid,0,grad_negation,1.0,cifar10_iid_resnet18/seed0/grad_negation_alpha1.00,0.792,0.6252222222222222,0.8142222222222222,0.18899999999999995,True,0.7754,0.03155555555555556,15,2,6.8990607261657715,6.177492141723633,-0.015355346724390984,-0.016997134312987328,0.9998826384544373,0.3533632755279541,-0.22191756963729858,38.05971145629883,1.0552341938018799,0.5567261576652527,1.6903990507125854,-0.09395288676023483,-0.03094300627708435,0.9955766201019287,0.00646252622195879,0.6542920470237732,-0.047935061156749725,4.237113952636719,1.0148206949234009,1.315110206604004,2.0539047718048096,-0.08169283717870712,-0.05230734869837761,0.9966574311256409,0.036061591239213146,0.45546865463256836,-0.2562611401081085,13.558235168457031,1.029135823249817,2.3665342330932617,1.9835542440414429,-0.05069365352392197,-0.06047942861914635,0.9987116456031799,0.11677740657012882,0.40940460562705994,-0.2609654366970062,15.922628402709961,1.0486446619033813,4.443115234375,3.0643234252929688,0.01266507152467966,0.018356477841734886,0.9999215602874756,0.4117644111208626,0.3366638720035553,-0.21624387800693512,20.615039825439453,1.067565679550171,4.481473922729492,3.539978265762329,-0.026672374457120895,-0.03366707265377045,0.9996356964111328,0.4211211584542045,0.3315216302871704,-0.22094616293907166,22.7014217376709,1.0605279207229614,0.6123062372207642,2.351539134979248,0.09953545778989792,0.02591756172478199,0.9950336813926697,0.007817289728007479,0.7344146370887756,-0.30195876955986023,7.947210788726807,1.02589750289917
cifar10_iid_resnet18,cifar10,resnet18,iid,0,full_retrain,1.0,cifar10_iid_resnet18/seed0/full_retrain_alpha1.00,0.7607,0.033666666666666664,0.8142222222222222,0.7805555555555556,True,0.7754,0.03155555555555556,15,2,72.81348419189453,6.177492141723633,0.1287473738193512,1.504098653793335,0.991719663143158,-0.36366161704063416,0.23840658366680145,38.05971145629883,1.9379843473434448,12.668793678283691,1.6903990507125854,0.1256127506494522,0.941412091255188,0.9920794367790222,0.030116755369078967,-0.545484185218811,0.08408739417791367,4.237113952636719,3.071972131729126,20.65424919128418,2.0539047718048096,0.17084874212741852,1.7180577516555786,0.9852964878082275,0.08004934210074226,-0.4659249186515808,0.28057223558425903,13.558235168457031,1.570297360420227,27.933446884155273,1.9835542440414429,0.14266175031661987,2.00896954536438,0.9897716641426086,0.14641970389242134,-0.4044129550457001,0.263020396232605,15.922628402709961,1.7761850357055664,37.58782196044922,3.0643234252929688,0.10631207376718521,1.3035386800765991,0.9943428635597229,0.2651959477778005,-0.3606853485107422,0.24614907801151276,20.615039825439453,1.8512744903564453,48.85858154296875,3.539978265762329,0.12397021055221558,1.706007719039917,0.9923357963562012,0.44889547194853974,-0.29537248611450195,0.21751835942268372,22.7014217376709,2.1674349308013916,12.501396179199219,2.351539134979248,0.21709446609020233,1.154130458831787,0.976150631904602,0.02932613749196117,-0.5427103042602539,0.2880798578262329,7.947210788726807,1.6025511026382446
cifar10_iid_resnet18,cifar10,resnet18,iid,0,fine_pruning,1.0,cifar10_iid_resnet18/seed0/fine_pruning_alpha1.00,0.7711,0.618,0.8142222222222222,0.1962222222222222,True,0.7754,0.03155555555555556,15,2,7.543981552124023,6.177492141723633,0.006376415025442839,0.00771797401830554,0.9999890923500061,0.2903943359851837,-0.1880907565355301,38.05971145629883,1.0554850101470947,0.5554924607276917,1.6903990507125854,-0.1217028796672821,-0.0399935357272625,0.9925667643547058,0.005389594340911211,0.6009379029273987,-0.10730098932981491,4.237113952636719,1.0224101543426514,1.2854849100112915,2.0539047718048096,-0.08439554274082184,-0.05282057076692581,0.9964319467544556,0.0288626000259851,0.4429018199443817,-0.26584845781326294,13.558235168457031,1.029270052909851,2.3530101776123047,1.9835542440414429,-0.053751807659864426,-0.06376144289970398,0.9985531568527222,0.09670778753514651,0.39802423119544983,-0.2580844759941101,15.922628402709961,1.0479086637496948,4.476763725280762,3.0643234252929688,0.004223490133881569,0.006167793180793524,0.9999845623970032,0.35017326732673265,0.3313154876232147,-0.21267999708652496,20.615039825439453,1.067501187324524,4.468488693237305,3.539978265762329,-0.049376361072063446,-0.06214447692036629,0.9986990690231323,0.3503057580320616,0.3136407434940338,-0.21958212554454803,22.7014217376709,1.0600382089614868,3.106597900390625,2.351539134979248,0.2201496958732605,0.29083773493766785,0.9754661321640015,0.16856595551883588,-0.05507581681013107,0.09935992956161499,7.947210788726807,1.0368822813034058
cifar10_iid_resnet18,cifar10,resnet18,iid,1,short_retrain,1.0,cifar10_iid_resnet18/seed1/short_retrain_alpha1.00,0.7708,0.503,0.7991111111111111,0.2961111111111111,True,0.7491,0.033555555555555554,15,2,6.785919666290283,5.55381441116333,-0.01412717904895544,-0.01714995875954628,0.9998990893363953,0.35789954662323,-0.2290733903646469,38.0584716796875,1.0553544759750366,0.633765459060669,0.8590192198753357,-0.17368361353874207,-0.1281399428844452,0.9848014712333679,0.008649333790050511,0.5450149774551392,-0.18091748654842377,4.212803840637207,1.0378175973892212,1.4499398469924927,1.5231226682662964,-0.10804295539855957,-0.102851003408432,0.994145929813385,0.04527169161531662,0.4463544189929962,-0.2758687436580658,13.432708740234375,1.0349887609481812,2.4451022148132324,1.916110634803772,-0.05631665512919426,-0.07186179608106613,0.998413622379303,0.12874666149038347,0.4067345857620239,-0.2517766058444977,16.8033504486084,1.0461560487747192,4.630082130432129,2.9658946990966797,0.00933885294944048,0.014572748914361,0.9999508857727051,0.46180304696992336,0.34072980284690857,-0.219491645693779,21.197528839111328,1.0693997144699097,4.013401508331299,3.1803159713745117,-0.020069949328899384,-0.025254182517528534,0.9998113512992859,0.3480916001689247,0.34094756841659546,-0.23048992455005646,21.327468872070312,1.0594052076339722,0.5879354476928711,2.3177192211151123,0.14127817749977112,0.035838011652231216,0.989969789981842,0.007443632448789667,0.7310320138931274,-0.3322010934352875,8.648503303527832,1.0245916843414307
cifar10_iid_resnet18,cifar10,resnet18,iid,1,federaser,1.0,cifar10_iid_resnet18/seed1/federaser_alpha1.00,0.1383,0.0008888888888888889,0.7991111111111111,0.7982222222222222,True,0.7491,0.033555555555555554,15,2,29.28373908996582,5.55381441116333,0.27097567915916443,1.4195665121078491,0.9627777934074402,-0.5170372724533081,0.44486913084983826,38.0584716796875,0.9549350738525391,3.189861297607422,0.8590192198753357,0.3395371437072754,1.260828971862793,0.9405927062034607,0.011780523449935843,-0.6937643885612488,0.33327382802963257,4.212803840637207,1.033744215965271,8.727560043334961,1.5231226682662964,0.3437007665634155,1.9694067239761353,0.9390808939933777,0.08818794164414472,-0.5948636531829834,0.46537140011787415,13.432708740234375,0.9041103720664978,12.016593933105469,1.916110634803772,0.27908456325531006,1.7501747608184814,0.9602702856063843,0.1671853674785968,-0.5636256337165833,0.4630493223667145,16.8033504486084,0.9214970469474792,17.970041275024414,2.9658946990966797,0.23560801148414612,1.4269158840179443,0.9718740582466125,0.37400923104188694,-0.47001609206199646,0.4177681505680084,21.197528839111328,1.0053011178970337,16.75884246826172,3.1803159713745117,0.28477969765663147,1.4963304996490479,0.9594237208366394,0.32649242314284216,-0.5025975704193115,0.45478519797325134,21.327468872070312,0.9513236880302429,5.285917282104492,2.3177192211151123,0.35994192957878113,0.8209033012390137,0.9329748153686523,0.032349077726118905,-0.6038870215415955,0.47209596633911133,8.648503303527832,0.8924537897109985
cifar10_iid_resnet18,cifar10,resnet18,iid,1,grad_negation,1.0,cifar10_iid_resnet18/seed1/grad_negation_alpha1.00,0.8004,0.4101111111111111,0.7991111111111111,0.389,True,0.7491,0.033555555555555554,15,2,7.086284637451172,5.55381441116333,-0.02621920220553875,-0.033238157629966736,0.9996504783630371,0.3754284083843231,-0.23794066905975342,38.0584716796875,1.059979796409607,0.6252409219741821,0.8590192198753357,-0.3013305366039276,-0.2193247526884079,0.9535197019577026,0.007725576482179202,0.6730383038520813,-0.19057996571063995,4.212803840637207,1.0385551452636719,1.5365090370178223,1.5231226682662964,-0.12459436058998108,-0.12568850815296173,0.9922081232070923,0.046656064496256054,0.4737400412559509,-0.2880549132823944,13.432708740234375,1.0387393236160278,2.605496406555176,1.916110634803772,-0.06308869272470474,-0.08578397333621979,0.9980095624923706,0.13416302082775783,0.4263843894004822,-0.26697972416877747,16.8033504486084,1.0520614385604858,4.778219223022461,2.9658946990966797,0.005140912719070911,0.00827876478433609,0.9999833106994629,0.45135976962951985,0.3541983664035797,-0.22662614285945892,21.197528839111328,1.0737721920013428,4.210940837860107,3.1803159713745117,-0.038111619651317596,-0.050316568464040756,0.9992777705192566,0.3523183826421832,0.3547247648239136,-0.23643100261688232,21.327468872070312,1.0641984939575195,0.6275272965431213,2.3177192211151123,0.1196720227599144,0.03240144997835159,0.9928135871887207,0.007782183841800771,0.7359862327575684,-0.3403818607330322,8.648503303527832,1.0269666910171509
cifar10_iid_resnet18,cifar10,resnet18,iid,1,full_retrain,1.0,cifar10_iid_resnet18/seed1/full_retrain_alpha1.00,0.7612,0.031,0.7991111111111111,0.7681111111111111,True,0.7491,0.033555555555555554,15,2,72.47078704833984,5.55381441116333,0.13196653127670288,1.7109038829803467,0.9913162589073181,-0.3599390983581543,0.2435956746339798,38.0584716796875,1.9253201484680176,12.932101249694824,0.8590192198753357,0.2013726383447647,3.0315635204315186,0.9795146584510803,0.0316753351539168,-0.513645350933075,0.19049809873104095,4.212803840637207,3.0419719219207764,20.770822525024414,1.5231226682662964,0.20413759350776672,2.7838048934936523,0.9789407253265381,0.08171301774518619,-0.48073190450668335,0.3002478778362274,13.432708740234375,1.569222092628479,27.814218521118164,1.916110634803772,0.14260254800319672,2.0699427127838135,0.9897818565368652,0.14653196466814025,-0.413155734539032,0.2788338363170624,16.8033504486084,1.6783572435379028,37.48777770996094,2.9658946990966797,0.11539453268051147,1.4579216241836548,0.9933261871337891,0.26625163911237726,-0.3643045425415039,0.25475233793258667,21.197528839111328,1.7963351011276245,48.366458892822266,3.1803159713745117,0.11508628726005554,1.7451884746551514,0.9933875799179077,0.44398265534956616,-0.27527299523353577,0.20526368916034698,21.327468872070312,2.2834596633911133,12.5536470413208,2.3177192211151123,0.21608203649520874,1.1703823804855347,0.9763748049736023,0.02984852076899537,-0.5318368673324585,0.306011438369751,8.648503303527832,1.4894940853118896
cifar10_iid_resnet18,cifar10,resnet18,iid,1,fine_pruning,1.0,cifar10_iid_resnet18/seed1/fine_pruning_alpha1.00,0.7376,0.48033333333333333,0.7991111111111111,0.31877777777777777,True,0.7491,0.033555555555555554,15,2,7.528012275695801,5.55381441116333,-0.005843783263117075,-0.00786997377872467,0.9999790787696838,0.3329603970050812,-0.2095521092414856,38.0584716796875,1.059389591217041,0.6625480651855469,0.8590192198753357,-0.3290896415710449,-0.2538216710090637,0.944298505783081,0.007695912257567718,0.6558231115341187,-0.1258385181427002,4.212803840637207,1.0316563844680786,1.5516948699951172,1.5231226682662964,-0.1378626972436905,-0.14044788479804993,0.9904524087905884,0.04221240778982762,0.48009759187698364,-0.2868688106536865,13.432708740234375,1.0390459299087524,2.6131417751312256,1.916110634803772,-0.04885276034474373,-0.06662178039550781,0.9988051652908325,0.11971953768881592,0.41395652294158936,-0.2601947784423828,16.8033504486084,1.0512406826019287,4.806369781494141,2.9658946990966797,0.004538156557828188,0.007351160980761051,0.9999884963035583,0.40515134365925864,0.3416709899902344,-0.218457892537117,21.197528839111328,1.0726171731948853,4.252236843109131,3.1803159713745117,-0.05739394202828407,-0.0765170007944107,0.9982827305793762,0.31843452403961714,0.33199313282966614,-0.22950492799282074,21.327468872070312,1.0636820793151855,2.468057870864868,2.3177192211151123,0.21413075923919678,0.2280203402042389,0.9768050909042358,0.10679135418323299,0.06671782582998276,0.036955274641513824,8.648503303527832,1.0297311544418335
