exp_id,method,alpha,n,BA,BA_std,ASR,ASR_std,cfASR,dASR,gap,BPR,ASR_ci95_half
cifar10_dirichlet,cf_sameinit,0.25,5,0.66448,0.003482384240717827,0.8966444444444445,0.04300397627323131,0.8966444444444445,0.026222222222222303,0.0,0.0,0.05339648911808024
cifar10_dirichlet,cf_sameinit,0.5,5,0.6650400000000001,0.0028936136576951715,0.8131777777777778,0.060368293533920016,0.8131777777777778,0.10968888888888895,0.0,0.0,0.07495713671406577
cifar10_dirichlet,cf_sameinit,0.75,5,0.6638200000000001,0.003285878877865067,0.5013777777777777,0.15164370196509652,0.5013777777777777,0.42148888888888897,0.0,0.0,0.18829052528440207
cifar10_dirichlet,cf_sameinit,1.0,5,0.66426,0.004452302774969384,0.0306222222222222,0.007612773541072559,0.0306222222222222,0.8922444444444444,0.0,0.0,0.009452506832427997
cifar10_dirichlet,federaser,0.25,5,0.44496,0.05452575538220448,0.6564888888888889,0.262974798116558,0.8966444444444445,0.26637777777777777,-0.24015555555555546,-4.264112903225806,0.3265263392562337
cifar10_dirichlet,federaser,0.5,5,0.4710599999999999,0.028914235248403152,0.21988888888888888,0.11602224137563952,0.8131777777777778,0.7029777777777778,-0.5932888888888889,-5.005703937019645,0.14406064010703906
cifar10_dirichlet,federaser,0.75,5,0.44118,0.014070074626667758,0.1719555555555555,0.1629211276267154,0.5013777777777777,0.7509111111111112,-0.3294222222222222,-0.8615976110469127,0.2022932987208536
cifar10_dirichlet,federaser,1.0,5,0.45519999999999994,0.019738287666360516,0.08519999999999997,0.09713263809202367,0.0306222222222222,0.8376666666666667,0.05457777777777776,0.06233543905131218,0.12060609976942158
cifar10_dirichlet,full_retrain,0.25,5,0.66374,0.004426398084221535,0.8951333333333332,0.04286487525777018,0.8966444444444445,0.027733333333333388,-0.0015111111111110853,0.19758064516128937,0.053223772395068605
cifar10_dirichlet,full_retrain,0.5,5,0.6641600000000001,0.00445286424675175,0.812711111111111,0.05877050994764447,0.8131777777777778,0.11015555555555559,-0.0004666666666666375,-0.022587573448526087,0.07297322635806644
cifar10_dirichlet,full_retrain,0.75,5,0.666,0.008758424515858981,0.47455555555555556,0.14600663776556508,0.5013777777777777,0.44831111111111116,-0.026822222222222213,-0.07288562971704846,0.18129118561228058
cifar10_dirichlet,full_retrain,1.0,5,0.66508,0.00725995867756832,0.029222222222222198,0.009867955371295324,0.0306222222222222,0.8936444444444446,-0.0013999999999999998,-0.0017964431450926879,0.012252684920418885
cifar10_dirichlet,grad_negation,0.25,5,0.66498,0.008303433024960238,0.9159111111111111,0.030945731072394043,0.8966444444444445,0.006955555555555604,0.0192666666666667,0.659274193548387,0.038424200170687366
cifar10_dirichlet,grad_negation,0.5,5,0.6654,0.00225499445675593,0.8897777777777778,0.03753303072044318,0.8131777777777778,0.033088888888888876,0.07660000000000007,0.7116051490985754,0.04660341298905024
cifar10_dirichlet,grad_negation,0.75,5,0.66284,0.005073756005170139,0.8447555555555557,0.06381780586700708,0.5013777777777777,0.07811111111111113,0.34337777777777784,0.817271084266161,0.07924027198941987
cifar10_dirichlet,grad_negation,1.0,5,0.6655800000000001,0.0012477980605850943,0.7810444444444444,0.08663284952767022,0.0306222222222222,0.14182222222222224,0.7504222222222222,0.8397007004540219,0.1075688903203123
cifar10_dirichlet,short_retrain,0.25,5,0.67014,0.0026168683574073807,0.922,0.023598624149055725,0.8966444444444445,0.0008666666666667045,0.025355555555555596,1.0040322580645165,0.029301562013024463
cifar10_dirichlet,short_retrain,0.5,5,0.6698000000000001,0.0026804850307360372,0.8996666666666666,0.03373059570211818,0.8131777777777778,0.023200000000000064,0.08648888888888888,0.8025788328035908,0.04188206632128686
