exp_id,dataset,partition,seed,method,alpha,run_id,BA,ASR,ASR_before,asr_reduction,cf0_available,cf0_BA,cf0_ASR,history_rounds,history_every,global_u_norm,global_dm_norm,global_cos_u_negdm,global_rho,global_resid_frac,global_cos_u_dr,global_cos_u_d,global_d_norm,global_rel_dist_cf,conv1_u_norm,conv1_dm_norm,conv1_cos_u_negdm,conv1_rho,conv1_resid_frac,conv1_energy,conv1_cos_u_dr,conv1_cos_u_d,conv1_d_norm,conv1_rel_dist_cf,conv2_u_norm,conv2_dm_norm,conv2_cos_u_negdm,conv2_rho,conv2_resid_frac,conv2_energy,conv2_cos_u_dr,conv2_cos_u_d,conv2_d_norm,conv2_rel_dist_cf,fc1_u_norm,fc1_dm_norm,fc1_cos_u_negdm,fc1_rho,fc1_resid_frac,fc1_energy,fc1_cos_u_dr,fc1_cos_u_d,fc1_d_norm,fc1_rel_dist_cf,fc2_u_norm,fc2_dm_norm,fc2_cos_u_negdm,fc2_rho,fc2_resid_frac,fc2_energy,fc2_cos_u_dr,fc2_cos_u_d,fc2_d_norm,fc2_rel_dist_cf
cifar10_iid,cifar10,iid,0,short_retrain,0.25,cifar10_iid/seed0/short_retrain_alpha0.25,0.6916,0.9125555555555556,0.9093333333333333,-0.0032222222222222374,True,0.6902,0.8803333333333333,20,2,1.8212289810180664,0.9090269804000854,-0.056173209100961685,-0.11253544688224792,0.9984206557273865,0.6057453155517578,-0.030327901244163513,4.090981483459473,1.106882929801941,0.5004099607467651,0.16612116992473602,-0.6228824853897095,-1.876320242881775,0.7823153734207153,0.07549256866700046,0.944208562374115,0.21783612668514252,0.39181673526763916,1.4403817653656006,0.6902651786804199,0.30258744955062866,-0.30111151933670044,-0.686897337436676,0.953588604927063,0.14364291434700313,0.7915140986442566,0.07498805969953537,0.9947196841239929,1.1736541986465454,1.5183436870574951,0.8048210144042969,0.04042458534240723,0.0762593075633049,0.9991804957389832,0.6950330844506316,0.4716013967990875,-0.05043159797787666,3.728188991546631,1.098608374595642,0.5335769653320312,0.24383461475372314,-0.21309594810009003,-0.4663124084472656,0.9770312309265137,0.08583144152004035,0.8029021620750427,-0.04994495213031769,1.3014878034591675,1.0995596647262573
cifar10_iid,cifar10,iid,0,federaser,0.25,cifar10_iid/seed0/federaser_alpha0.25,0.4247,0.4102222222222222,0.9093333333333333,0.4991111111111111,True,0.6902,0.8803333333333333,20,2,9.443808555603027,0.9090269804000854,0.21633842587471008,2.2473793029785156,0.9763227701187134,-0.8001042604446411,0.13971085846424103,4.090981483459473,2.3840956687927246,3.6964850425720215,0.16612116992473602,0.6675010323524475,14.853055000305176,0.7446088790893555,0.1531976675555884,-0.9655446410179138,-0.17363235354423523,0.39181673526763916,9.658191680908203,4.207905292510986,0.30258744955062866,0.3681776523590088,5.120022296905518,0.9297557473182678,0.19852104277568036,-0.8961499333381653,-0.0016518629854544997,0.9947196841239929,4.348439693450928,6.820923328399658,0.8048210144042969,0.12835188210010529,1.0877337455749512,0.9917312264442444,0.5216515998196153,-0.6704924702644348,0.20450547337532043,3.728188991546631,1.897104024887085,3.360706329345703,0.24383461475372314,0.3342675566673279,4.607120037078857,0.9424784183502197,0.12662968984911596,-0.9206346273422241,0.10414797067642212,1.3014878034591675,2.6701900959014893
cifar10_iid,cifar10,iid,0,grad_negation,0.25,cifar10_iid/seed0/grad_negation_alpha0.25,0.6874,0.9114444444444444,0.9093333333333333,-0.0021111111111110636,True,0.6902,0.8803333333333333,20,2,2.3330302238464355,0.9090269804000854,-0.06075447052717209,-0.1559172421693802,0.9981524348258972,0.4762374758720398,-0.020189492031931877,4.090981483459473,1.161144495010376,0.6187351942062378,0.16612116992473602,-0.5403189063072205,-2.012472152709961,0.8414601683616638,0.07033051960497982,0.8511433005332947,0.23379065096378326,0.39181673526763916,1.6599148511886597,1.1032741069793701,0.30258744955062866,-0.2551257014274597,-0.9302209615707397,0.9669076204299927,0.22361521395700135,0.5202040672302246,0.04783978313207626,0.9947196841239929,1.4574114084243774,1.8597753047943115,0.8048210144042969,0.023864930495619774,0.055143944919109344,0.9997128844261169,0.6354309108005436,0.38235148787498474,-0.04032961651682854,3.728188991546631,1.1353793144226074,0.6200215220451355,0.24383461475372314,-0.15782856941223145,-0.4013258218765259,0.9874664545059204,0.07062326256241723,0.5816174745559692,-0.027569016441702843,1.3014878034591675,1.119472861289978
cifar10_iid,cifar10,iid,0,full_retrain,0.25,cifar10_iid/seed0/full_retrain_alpha0.25,0.6858,0.8812222222222222,0.9093333333333333,0.028111111111111087,True,0.6902,0.8803333333333333,20,2,24.371686935424805,0.9090269804000854,0.15648213028907776,4.195134162902832,0.9876822829246521,-0.5976501107215881,0.05774059146642685,4.090981483459473,5.983559608459473,11.205790519714355,0.16612116992473602,0.4685429334640503,31.60580062866211,0.8834406137466431,0.2113941372061051,-0.6667118668556213,-0.06093853712081909,0.39181673526763916,28.677881240844727,11.927753448486328,0.30258744955062866,0.23824124038219452,9.391264915466309,0.9712059497833252,0.23951118038844169,-0.5839838981628418,-0.019162453711032867,0.9947196841239929,12.051779747009277,15.533385276794434,0.8048210144042969,0.09665193408727646,1.865322232246399,0.9953207969665527,0.40621040214873894,-0.5472714900970459,0.09761009365320206,3.728188991546631,4.188823223114014,9.212727546691895,0.24383461475372314,0.23434306681156158,8.85411262512207,0.9721540212631226,0.1428842802567143,-0.6745671629905701,0.04997008666396141,1.3014878034591675,7.099247455596924
cifar10_iid,cifar10,iid,0,fine_pruning,0.25,cifar10_iid/seed0/fine_pruning_alpha0.25,0.6862,0.88,0.9093333333333333,0.029333333333333322,True,0.6902,0.8803333333333333,20,2,4.426515102386475,0.9090269804000854,0.011609049513936043,0.05652677267789841,0.999924898147583,0.1393350511789322,-0.0177536029368639,4.090981483459473,1.4863226413726807,0.5131269097328186,0.16612116992473602,-0.6219021677970886,-1.9209753274917603,0.7830949425697327,0.013436089271276201,0.9458183646202087,0.20396307110786438,0.39181673526763916,1.4767711162567139,4.061312675476074,0.30258744955062866,0.08977498859167099,1.2049534320831299,0.9959620237350464,0.8416986992716782,-0.1329023689031601,0.010842876508831978,0.9947196841239929,4.1930084228515625,1.5943914651870728,0.8048210144042969,0.01740811951458454,0.03448450565338135,0.9998340606689453,0.12972392311707606,0.464225709438324,-0.061966102570295334,3.728188991546631,1.1117042303085327,0.5447174310684204,0.24383461475372314,-0.24799031019210815,-0.5540012121200562,0.9687624573707581,0.015141394796288595,0.8213456273078918,-0.053556930273771286,1.3014878034591675,1.1045368909835815
cifar10_iid,cifar10,iid,0,short_retrain,0.5,cifar10_iid/seed0/short_retrain_alpha0.50,0.693,0.8978888888888888,0.9093333333333333,0.01144444444444448,True,0.6928,0.8057777777777778,20,2,1.8864970207214355,1.4505395889282227,-0.06237013265490532,-0.08110915124416351,0.9980537295341492,0.6052477955818176,-0.0006673116004094481,4.811746597290039,1.0743497610092163,0.5108476281166077,0.3346475660800934,-0.6296743750572205,-0.9612129926681519,0.7768592238426208,0.07332478477543439,0.9422299861907959,0.18949684500694275,0.664482057094574,1.1400318145751953,0.707362711429596,0.5560085773468018,-0.30167344212532043,-0.3837932050228119,0.9534114003181458,0.14058934472265722,0.7873867750167847,0.05850338190793991,1.4706368446350098,1.0840076208114624,1.5804884433746338,1.2222604751586914,0.058886777609586716,0.07614050805568695,0.9982634782791138,0.7018863098740701,0.47672152519226074,-0.016895262524485588,4.270181179046631,1.0721452236175537,0.5474202632904053,0.43482089042663574,-0.24423104524612427,-0.3074759840965271,0.9697169661521912,0.08419954388040889,0.8065096139907837,-0.020672518759965897,1.5212973356246948,1.0697479248046875
cifar10_iid,cifar10,iid,0,federaser,0.5,cifar10_iid/seed0/federaser_alpha0.50,0.4674,0.25533333333333336,0.9093333333333333,0.6539999999999999,True,0.6928,0.8057777777777778,20,2,9.679617881774902,1.4505395889282227,0.30393314361572266,2.0280251502990723,0.9526998400688171,-0.7859669327735901,0.19173069298267365,4.811746597290039,2.0677080154418945,3.712186336517334,0.3346475660800934,0.707719087600708,7.8506011962890625,0.7064938545227051,0.14706599586717206,-0.9574896097183228,-0.10814081132411957,0.664482057094574,5.780849456787109,4.279150009155273,0.5560085773468018,0.4350844919681549,3.3484911918640137,0.9003898501396179,0.19541962680461106,-0.8880024552345276,0.07878943532705307,1.4706368446350098,3.001333236694336,7.035201072692871,1.2222604751586914,0.19696132838726044,1.1336113214492798,0.9804155826568604,0.5282351013865142,-0.6564577221870422,0.26275870203971863,4.270181179046631,1.6877750158309937,3.4804720878601074,0.43482089042663574,0.43573302030563354,3.487771987915039,0.9000760912895203,0.1292793370083514,-0.9052262902259827,0.15246127545833588,1.5212973356246948,2.35299015045166
cifar10_iid,cifar10,iid,0,grad_negation,0.5,cifar10_iid/seed0/grad_negation_alpha0.50,0.6873,0.886,0.9093333333333333,0.023333333333333317,True,0.6928,0.8057777777777778,20,2,2.6794347763061523,1.4505395889282227,-0.06418423354625702,-0.11855192482471466,0.9979407787322998,0.4251379370689392,-0.005491396877914667,4.811746597290039,1.1472580432891846,0.6921299695968628,0.3346475660800934,-0.4940851032733917,-1.0218840837478638,0.8694136142730713,0.06672069640895104,0.7912800908088684,0.17509035766124725,0.664482057094574,1.3115627765655518,1.3333240747451782,0.5560085773468018,-0.2157437801361084,-0.5173590183258057,0.9764499664306641,0.24760367387968665,0.4368433356285095,0.030186422169208527,1.4706368446350098,1.3293770551681519,2.112532377243042,1.2222604751586914,0.026048732921481133,0.045019086450338364,0.9996585845947266,0.6215975117843829,0.34582453966140747,-0.022157011553645134,4.270181179046631,1.1254647970199585,0.6782850623130798,0.43482089042663574,-0.14355964958667755,-0.22394125163555145,0.9896416664123535,0.06407812207781306,0.5410481691360474,-0.010310581885278225,1.5212973356246948,1.0990835428237915
cifar10_iid,cifar10,iid,0,full_retrain,0.5,cifar10_iid/seed0/full_retrain_alpha0.50,0.6849,0.8127777777777778,0.9093333333333333,0.0965555555555555,True,0.6928,0.8057777777777778,20,2,24.472692489624023,1.4505395889282227,0.20356963574886322,3.43424916267395,0.9790605902671814,-0.5864834189414978,0.05829179286956787,4.811746597290039,5.125884056091309,11.227372169494629,0.3346475660800934,0.4777625501155853,16.028854370117188,0.8784891963005066,0.21046225539860058,-0.6606878042221069,-0.049967922270298004,0.664482057094574,16.975799560546875,11.956153869628906,0.5560085773468018,0.26215729117393494,5.637304782867432,0.9650256037712097,0.23867171792211275,-0.5771249532699585,0.005435943603515625,1.4706368446350098,8.185791015625,15.626954078674316,1.2222604751586914,0.13285702466964722,1.6984997987747192,0.9911382794380188,0.40773459223402087,-0.5320121049880981,0.09846726804971695,4.270181179046631,3.6975278854370117,9.258881568908691,0.43482089042663574,0.28590402007102966,6.087910175323486,0.9582585096359253,0.14313142170706916,-0.6670307517051697,0.04051801562309265,1.5212973356246948,6.127668857574463
cifar10_iid,cifar10,iid,0,fine_pruning,0.5,cifar10_iid/seed0/fine_pruning_alpha0.50,0.6874,0.8536666666666667,0.9093333333333333,0.05566666666666664,True,0.6928,0.8057777777777778,20,2,4.713339328765869,1.4505395889282227,0.022479135543107986,0.07303741574287415,0.9997272491455078,0.12368039786815643,0.011927426792681217,4.811746597290039,1.3914352655410767,0.5302695035934448,0.3346475660800934,-0.6338380575180054,-1.0043548345565796,0.7734658122062683,0.012655923737022238,0.9434022903442383,0.18791700899600983,0.664482057094574,1.1562491655349731,4.339102268218994,0.5560085773468018,0.11544039100408554,0.9008982181549072,0.9933144450187683,0.8474240808867558,-0.15912456810474396,0.05288810655474663,1.4706368446350098,3.064852237701416,1.6704577207565308,1.2222604751586914,0.02788105607032776,0.03810231760144234,0.9995775818824768,0.1255961291268571,0.4634973108768463,-0.01520873699337244,4.270181179046631,1.0793172121047974,0.564130961894989,0.43482089042663574,-0.28239649534225464,-0.36637741327285767,0.9592975974082947,0.014323868932117598,0.8122934699058533,-0.028795063495635986,1.5212973356246948,1.0765057802200317
