exp_id,dataset,partition,seed,method,alpha,run_id,BA,ASR,ASR_before,asr_reduction,cf0_available,cf0_BA,cf0_ASR,history_rounds,history_every,global_u_norm,global_dm_norm,global_cos_u_negdm,global_rho,global_cos_u_dr,conv1_u_norm,conv1_dm_norm,conv1_cos_u_negdm,conv1_rho,conv1_cos_u_dr,conv2_u_norm,conv2_dm_norm,conv2_cos_u_negdm,conv2_rho,conv2_cos_u_dr,fc1_u_norm,fc1_dm_norm,fc1_cos_u_negdm,fc1_rho,fc1_cos_u_dr,fc2_u_norm,fc2_dm_norm,fc2_cos_u_negdm,fc2_rho,fc2_cos_u_dr,global_cos_u_d,global_d_norm,global_rel_dist_cf,conv1_cos_u_d,conv1_d_norm,conv1_rel_dist_cf,conv2_cos_u_d,conv2_d_norm,conv2_rel_dist_cf,fc1_cos_u_d,fc1_d_norm,fc1_rel_dist_cf,fc2_cos_u_d,fc2_d_norm,fc2_rel_dist_cf
cifar10_iid,cifar10,iid,0,short_retrain,0.25,cifar10_iid/seed0/short_retrain_alpha0.25,0.6916,0.9125555555555556,0.9093333333333333,-0.0032222222222222374,False,0.6854,0.022444444444444444,20,2,1.8212289810180664,0.9090269804000854,-0.056173209100961685,-0.11253544688224792,0.6057453155517578,0.5004099607467651,0.16612116992473602,-0.6228824853897095,-1.876320242881775,0.944208562374115,0.6902651786804199,0.30258744955062866,-0.30111151933670044,-0.686897337436676,0.7915140986442566,1.5183436870574951,0.8048210144042969,0.04042458534240723,0.0762593075633049,0.4716013967990875,0.5335769653320312,0.24383461475372314,-0.21309594810009003,-0.4663124084472656,0.8029021620750427,,,,,,,,,,,,,,,
cifar10_iid,cifar10,iid,0,federaser,0.25,cifar10_iid/seed0/federaser_alpha0.25,0.4167,0.5773333333333334,0.9093333333333333,0.33199999999999996,False,0.6854,0.022444444444444444,20,2,10.052163124084473,0.9090269804000854,0.2089586853981018,2.3105506896972656,-0.8000118136405945,3.7914552688598633,0.16612116992473602,0.6739335656166077,15.38147258758545,-0.9596945643424988,4.4678473472595215,0.30258744955062866,0.3618273138999939,5.342545032501221,-0.8962398171424866,7.363993167877197,0.8048210144042969,0.11916946619749069,1.0903240442276,-0.682049572467804,3.533647298812866,0.24383461475372314,0.33597826957702637,4.868992805480957,-0.9103842973709106,,,,,,,,,,,,,,,
cifar10_iid,cifar10,iid,0,grad_negation,0.25,cifar10_iid/seed0/grad_negation_alpha0.25,0.6874,0.9114444444444444,0.9093333333333333,-0.0021111111111110636,False,0.6854,0.022444444444444444,20,2,2.3330302238464355,0.9090269804000854,-0.06075447052717209,-0.1559172421693802,0.4762374758720398,0.6187351942062378,0.16612116992473602,-0.5403189063072205,-2.012472152709961,0.8511433005332947,1.1032741069793701,0.30258744955062866,-0.2551257014274597,-0.9302209615707397,0.5202040672302246,1.8597753047943115,0.8048210144042969,0.023864930495619774,0.055143944919109344,0.38235148787498474,0.6200215220451355,0.24383461475372314,-0.15782856941223145,-0.4013258218765259,0.5816174745559692,,,,,,,,,,,,,,,
cifar10_iid,cifar10,iid,0,full_retrain,0.25,cifar10_iid/seed0/full_retrain_alpha0.25,0.6858,0.8812222222222222,0.9093333333333333,0.028111111111111087,False,0.6854,0.022444444444444444,20,2,24.371686935424805,0.9090269804000854,0.15648213028907776,4.195134162902832,-0.5976501107215881,11.205790519714355,0.16612116992473602,0.4685429334640503,31.60580062866211,-0.6667118668556213,11.927753448486328,0.30258744955062866,0.23824124038219452,9.391264915466309,-0.5839838981628418,15.533385276794434,0.8048210144042969,0.09665193408727646,1.865322232246399,-0.5472714900970459,9.212727546691895,0.24383461475372314,0.23434306681156158,8.85411262512207,-0.6745671629905701,,,,,,,,,,,,,,,
cifar10_iid,cifar10,iid,0,fine_pruning,0.25,cifar10_iid/seed0/fine_pruning_alpha0.25,0.6862,0.88,0.9093333333333333,0.029333333333333322,False,0.6854,0.022444444444444444,20,2,4.426515102386475,0.9090269804000854,0.011609049513936043,0.05652677267789841,0.1393350511789322,0.5131269097328186,0.16612116992473602,-0.6219021677970886,-1.9209753274917603,0.9458183646202087,4.061312675476074,0.30258744955062866,0.08977498859167099,1.2049534320831299,-0.1329023689031601,1.5943914651870728,0.8048210144042969,0.01740811951458454,0.03448450565338135,0.464225709438324,0.5447174310684204,0.24383461475372314,-0.24799031019210815,-0.5540012121200562,0.8213456273078918,,,,,,,,,,,,,,,
cifar10_iid,cifar10,iid,0,short_retrain,0.5,cifar10_iid/seed0/short_retrain_alpha0.50,0.693,0.8978888888888888,0.9093333333333333,0.01144444444444448,False,0.6854,0.022444444444444444,20,2,1.8864970207214355,1.4505395889282227,-0.06237013265490532,-0.08110915124416351,0.6052477955818176,0.5108476281166077,0.3346475660800934,-0.6296743750572205,-0.9612129926681519,0.9422299861907959,0.707362711429596,0.5560085773468018,-0.30167344212532043,-0.3837932050228119,0.7873867750167847,1.5804884433746338,1.2222604751586914,0.058886777609586716,0.07614050805568695,0.47672152519226074,0.5474202632904053,0.43482089042663574,-0.24423104524612427,-0.3074759840965271,0.8065096139907837,,,,,,,,,,,,,,,
cifar10_iid,cifar10,iid,0,federaser,0.5,cifar10_iid/seed0/federaser_alpha0.50,0.429,0.09266666666666666,0.9093333333333333,0.8166666666666667,False,0.6854,0.022444444444444444,20,2,10.199034690856934,1.4505395889282227,0.3034176826477051,2.1332266330718994,-0.7798842191696167,3.808303117752075,0.3346475660800934,0.7023449540138245,7.992712020874023,-0.9481754302978516,4.546343803405762,0.5560085773468018,0.4337380826473236,3.5465643405914307,-0.880003809928894,7.469079494476318,1.2222604751586914,0.19826632738113403,1.2114980220794678,-0.6581745743751526,3.6148312091827393,0.43482089042663574,0.43725907802581787,3.6350996494293213,-0.8916723728179932,,,,,,,,,,,,,,,
cifar10_iid,cifar10,iid,0,grad_negation,0.5,cifar10_iid/seed0/grad_negation_alpha0.50,0.6873,0.886,0.9093333333333333,0.023333333333333317,False,0.6854,0.022444444444444444,20,2,2.6794347763061523,1.4505395889282227,-0.06418423354625702,-0.11855192482471466,0.4251379370689392,0.6921299695968628,0.3346475660800934,-0.4940851032733917,-1.0218840837478638,0.7912800908088684,1.3333240747451782,0.5560085773468018,-0.2157437801361084,-0.5173590183258057,0.4368433356285095,2.112532377243042,1.2222604751586914,0.026048732921481133,0.045019086450338364,0.34582453966140747,0.6782850623130798,0.43482089042663574,-0.14355964958667755,-0.22394125163555145,0.5410481691360474,,,,,,,,,,,,,,,
cifar10_iid,cifar10,iid,0,full_retrain,0.5,cifar10_iid/seed0/full_retrain_alpha0.50,0.6849,0.8127777777777778,0.9093333333333333,0.0965555555555555,False,0.6854,0.022444444444444444,20,2,24.472692489624023,1.4505395889282227,0.20356963574886322,3.43424916267395,-0.5864834189414978,11.227372169494629,0.3346475660800934,0.4777625501155853,16.028854370117188,-0.6606878042221069,11.956153869628906,0.5560085773468018,0.26215729117393494,5.637304782867432,-0.5771249532699585,15.626954078674316,1.2222604751586914,0.13285702466964722,1.6984997987747192,-0.5320121049880981,9.258881568908691,0.43482089042663574,0.28590402007102966,6.087910175323486,-0.6670307517051697,,,,,,,,,,,,,,,
cifar10_iid,cifar10,iid,0,fine_pruning,0.5,cifar10_iid/seed0/fine_pruning_alpha0.50,0.6874,0.8536666666666667,0.9093333333333333,0.05566666666666664,False,0.6854,0.022444444444444444,20,2,4.713339328765869,1.4505395889282227,0.022479135543107986,0.07303741574287415,0.12368039786815643,0.5302695035934448,0.3346475660800934,-0.6338380575180054,-1.0043548345565796,0.9434022903442383,4.339102268218994,0.5560085773468018,0.11544039100408554,0.9008982181549072,-0.15912456810474396,1.6704577207565308,1.2222604751586914,0.02788105607032776,0.03810231760144234,0.4634973108768463,0.564130961894989,0.43482089042663574,-0.28239649534225464,-0.36637741327285767,0.8122934699058533,,,,,,,,,,,,,,,
