exp_id,dataset,architecture,partition,seed,method,alpha,run_id,BA,ASR,ASR_before,asr_reduction,cf0_available,cf0_BA,cf0_ASR,history_rounds,history_every,global_u_norm,global_dm_norm,global_cos_u_negdm,global_rho,global_resid_frac,global_cos_u_dr,global_cos_u_d,global_d_norm,global_rel_dist_cf,conv1_u_norm,conv1_dm_norm,conv1_cos_u_negdm,conv1_rho,conv1_resid_frac,conv1_energy,conv1_cos_u_dr,conv1_cos_u_d,conv1_d_norm,conv1_rel_dist_cf,conv2_u_norm,conv2_dm_norm,conv2_cos_u_negdm,conv2_rho,conv2_resid_frac,conv2_energy,conv2_cos_u_dr,conv2_cos_u_d,conv2_d_norm,conv2_rel_dist_cf,fc1_u_norm,fc1_dm_norm,fc1_cos_u_negdm,fc1_rho,fc1_resid_frac,fc1_energy,fc1_cos_u_dr,fc1_cos_u_d,fc1_d_norm,fc1_rel_dist_cf,fc2_u_norm,fc2_dm_norm,fc2_cos_u_negdm,fc2_rho,fc2_resid_frac,fc2_energy,fc2_cos_u_dr,fc2_cos_u_d,fc2_d_norm,fc2_rel_dist_cf,stem_u_norm,stem_dm_norm,stem_cos_u_negdm,stem_rho,stem_resid_frac,stem_energy,stem_cos_u_dr,stem_cos_u_d,stem_d_norm,stem_rel_dist_cf,layer1_u_norm,layer1_dm_norm,layer1_cos_u_negdm,layer1_rho,layer1_resid_frac,layer1_energy,layer1_cos_u_dr,layer1_cos_u_d,layer1_d_norm,layer1_rel_dist_cf,layer2_u_norm,layer2_dm_norm,layer2_cos_u_negdm,layer2_rho,layer2_resid_frac,layer2_energy,layer2_cos_u_dr,layer2_cos_u_d,layer2_d_norm,layer2_rel_dist_cf,layer3_u_norm,layer3_dm_norm,layer3_cos_u_negdm,layer3_rho,layer3_resid_frac,layer3_energy,layer3_cos_u_dr,layer3_cos_u_d,layer3_d_norm,layer3_rel_dist_cf,layer4_u_norm,layer4_dm_norm,layer4_cos_u_negdm,layer4_rho,layer4_resid_frac,layer4_energy,layer4_cos_u_dr,layer4_cos_u_d,layer4_d_norm,layer4_rel_dist_cf,fc_u_norm,fc_dm_norm,fc_cos_u_negdm,fc_rho,fc_resid_frac,fc_energy,fc_cos_u_dr,fc_cos_u_d,fc_d_norm,fc_rel_dist_cf
cifar10_iid,cifar10,simplecnn,iid,0,fedup,1.0,cifar10_iid/seed0/fedup_alpha1.00,0.6773,0.06677777777777778,0.9093333333333333,0.8425555555555555,True,0.6854,0.022444444444444444,20,2,8.432075500488281,2.442732334136963,0.1856226772069931,0.6407014727592468,0.9826352000236511,-0.26689741015434265,0.0784994438290596,7.650215148925781,1.4289549589157104,3.8813893795013428,0.6436229348182678,0.15473437309265137,0.9331309199333191,0.987956166267395,0.2118513566432066,-0.35115474462509155,-0.17100858688354492,1.490855097770691,2.944225311279297,4.363944053649902,1.0500116348266602,0.18854409456253052,0.7836058735847473,0.9820647239685059,0.2678030855720539,-0.32731205224990845,0.07428434491157532,3.1245391368865967,1.6562556028366089,5.5609025955200195,1.9542163610458374,0.1959506720304489,0.5575606822967529,0.9806272387504578,0.43489735323148226,-0.23689331114292145,0.12668940424919128,6.476042747497559,1.2328102588653564,2.4650371074676514,0.7946255207061768,0.22636261582374573,0.7022075653076172,0.9740431308746338,0.08544833866191744,-0.12642057240009308,0.09038762748241425,2.145451068878174,1.4534114599227905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cifar10_iid,cifar10,simplecnn,iid,1,fedup,1.0,cifar10_iid/seed1/fedup_alpha1.00,0.6712,0.051555555555555556,0.9164444444444444,0.8648888888888888,True,0.6929,0.017777777777777778,20,2,8.338665008544922,2.3985962867736816,0.19570015370845795,0.6802971959114075,0.9806788563728333,-0.2871343791484833,0.09352478384971619,7.398934364318848,1.4350814819335938,3.4679441452026367,0.6229283809661865,0.11479636281728745,0.6390902996063232,0.9933890700340271,0.17293392484753486,-0.3282252252101898,-0.058162689208984375,1.5320392847061157,2.5273027420043945,4.215483665466309,0.9848732948303223,0.22562138736248016,0.9657105207443237,0.9742148518562317,0.25552361436401383,-0.32429343461990356,0.07396912574768066,3.0613317489624023,1.6408665180206299,5.755183219909668,1.9040344953536987,0.20180045068264008,0.6099340319633484,0.9794414639472961,0.47631641219334875,-0.27349820733070374,0.12877967953681946,6.164833068847656,1.2771602869033813,2.573418378829956,0.8775684833526611,0.22944386303424835,0.6728308200836182,0.9733219146728516,0.0952262748614619,-0.2112385332584381,0.0963464304804802,2.2408668994903564,1.4482887983322144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cifar10_iid,cifar10,simplecnn,iid,2,fedup,1.0,cifar10_iid/seed2/fedup_alpha1.00,0.6762,0.07322222222222222,0.9155555555555556,0.8423333333333334,True,0.6913,0.021444444444444443,20,2,8.182072639465332,2.4576330184936523,0.1788603663444519,0.5954298377037048,0.9838851094245911,-0.26256659626960754,0.08263718336820602,7.214247703552246,1.4487708806991577,3.2934513092041016,0.6144750118255615,0.1085008755326271,0.5815407633781433,0.9940962195396423,0.1619996757076916,-0.291077584028244,-0.08615336567163467,1.5558346509933472,2.4177987575531006,4.188549995422363,1.0070531368255615,0.17554785311222076,0.7301406264305115,0.9844717979431152,0.26202334243729486,-0.3243562579154968,0.07471507787704468,3.094754219055176,1.6215877532958984,5.661511421203613,1.9630482196807861,0.19595493376255035,0.565114438533783,0.9806211590766907,0.4787497950383733,-0.24337385594844818,0.11525865644216537,6.032421112060547,1.2901568412780762,2.551456928253174,0.8915672898292542,0.20166930556297302,0.5771304965019226,0.9794538021087646,0.09722730076334034,-0.17798273265361786,0.08492112904787064,1.9127463102340698,1.5977469682693481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cifar10_iid,cifar10,simplecnn,iid,3,fedup,1.0,cifar10_iid/seed3/fedup_alpha1.00,0.6736,0.04455555555555556,0.9108888888888889,0.8663333333333333,True,0.6838,0.021111111111111112,20,2,8.490680694580078,2.442943572998047,0.19951525330543518,0.6933815479278564,0.9799093008041382,-0.28570428490638733,0.11231938749551773,8.209630966186523,1.3555073738098145,3.626114845275879,0.630424439907074,0.15300777554512024,0.8800796866416931,0.9882251024246216,0.18236111087597104,-0.32608747482299805,-0.04794010519981384,1.829430103302002,2.262469530105591,4.359960556030273,1.0351555347442627,0.22108274698257446,0.9311743974685669,0.975255012512207,0.2636421035122307,-0.3435515761375427,0.08886095881462097,3.918611764907837,1.4283572435379028,5.800899028778076,1.940380334854126,0.19892175495624542,0.5946543216705322,0.9800242185592651,0.4667397905240623,-0.27693483233451843,0.15496817231178284,6.708156585693359,1.2164794206619263,2.5082802772521973,0.8568196892738342,0.2567392587661743,0.7515861988067627,0.9664807319641113,0.08725720010048005,-0.1415366679430008,0.12413159012794495,1.9230901002883911,1.541875958442688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cifar10_iid,cifar10,simplecnn,iid,4,fedup,1.0,cifar10_iid/seed4/fedup_alpha1.00,0.6709,0.07266666666666667,0.9066666666666666,0.834,True,0.6854,0.023555555555555555,20,2,8.330921173095703,2.4874093532562256,0.19088119268417358,0.6392610669136047,0.9816268086433411,-0.2862027585506439,0.12275765091180801,7.662850856781006,1.3838822841644287,3.11904239654541,0.600085437297821,0.11477170884609222,0.5965446829795837,0.9933919310569763,0.14014936981800163,-0.2702782452106476,-0.026665998622775078,1.5488473176956177,2.2721621990203857,4.2939019203186035,1.0590442419052124,0.20079609751701355,0.8141282796859741,0.9796327948570251,0.2656154858850927,-0.33747896552085876,0.11530354619026184,3.509019136428833,1.4883536100387573,5.92703914642334,1.9903777837753296,0.20067456364631653,0.597541868686676,0.9796715378761292,0.5061331625472999,-0.2905818819999695,0.15601307153701782,6.355264663696289,1.2565186023712158,2.472970962524414,0.8626244068145752,0.2157406359910965,0.6184850335121155,0.9764509201049805,0.08810216722332596,-0.18726323544979095,0.07471323013305664,1.9023752212524414,1.5797454118728638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cifar10_iid_resnet18,cifar10,resnet18,iid,0,fedup,1.0,cifar10_iid_resnet18/seed0/fedup_alpha1.00,0.7685,0.03244444444444444,0.8142222222222222,0.7817777777777777,True,0.7754,0.03155555555555556,15,2,22.765718460083008,6.177492141723633,0.08316297829151154,0.30376484990119934,0.9966377019882202,-0.11239133775234222,0.08976960927248001,38.05971145629883,1.119604468345642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.512669086456299,1.6903990507125854,0.05647704377770424,0.117359958589077,0.9984039068222046,0.02362745148742446,-0.2154187113046646,0.029168399050831795,4.237113952636719,1.2802022695541382,6.476914882659912,2.0539047718048096,0.09316810220479965,0.29380014538764954,0.9956489205360413,0.08033100558757159,-0.17867040634155273,0.11395543813705444,13.558235168457031,1.0579850673675537,8.603538513183594,1.9835542440414429,0.07023172080516815,0.3046152889728546,0.9975369572639465,0.14175260503227394,-0.11185738444328308,0.08003925532102585,15.922628402709961,1.0979413986206055,11.898784637451172,3.0643234252929688,0.08080369234085083,0.31363746523857117,0.9967435598373413,0.27126188562775794,-0.07622227817773819,0.06578899919986725,20.615039825439453,1.1213167905807495,15.594889640808105,3.539978265762329,0.08060739189386368,0.3540625274181366,0.9967997670173645,0.467853493845116,-0.10901223868131638,0.10210640728473663,22.7014217376709,1.1539435386657715,2.815690517425537,2.351539134979248,0.23048771917819977,0.27598172426223755,0.9730752110481262,0.015181416453719976,-0.19446372985839844,0.18276254832744598,7.947210788726807,0.9980090856552124
cifar10_iid_resnet18,cifar10,resnet18,iid,1,fedup,1.0,cifar10_iid_resnet18/seed1/fedup_alpha1.00,0.7279,0.034555555555555555,0.7991111111111111,0.7645555555555555,True,0.7491,0.033555555555555554,15,2,22.22707748413086,5.55381441116333,0.08411461859941483,0.3344665765762329,0.9964815378189087,-0.0917336642742157,0.07969708740711212,38.0584716796875,1.1186127662658691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.111598253250122,0.8590192198753357,0.07995765656232834,0.2896280586719513,0.9967983365058899,0.019444011689650133,-0.14259915053844452,-0.0010854745050892234,4.212803840637207,1.2438411712646484,6.012333869934082,1.5231226682662964,0.07926207780838013,0.31287485361099243,0.9968546628952026,0.07259546625239878,-0.11217205971479416,0.07815761864185333,13.432708740234375,1.0631881952285767,8.328445434570312,1.916110634803772,0.066848985850811,0.29055139422416687,0.9977659583091736,0.13930853846523455,-0.07322128862142563,0.0571402907371521,16.8033504486084,1.090425729751587,12.005940437316895,2.9658946990966797,0.08926530182361603,0.3611920177936554,0.9960343837738037,0.2896449799517744,-0.06043374165892601,0.060336917638778687,21.197528839111328,1.1191704273223877,15.081284523010254,3.1803159713745117,0.07910154014825821,0.3740224838256836,0.9968950152397156,0.45908288438513384,-0.1028018668293953,0.1008087620139122,21.327468872070312,1.165385365486145,3.150392532348633,2.3177192211151123,0.19236890971660614,0.2614801526069641,0.9813224077224731,0.019931866324202706,-0.2243674099445343,0.19611294567584991,8.648503303527832,0.9948951601982117
cifar10_iid_resnet18,cifar10,resnet18,iid,2,fedup,1.0,cifar10_iid_resnet18/seed2/fedup_alpha1.00,0.7851,0.04788888888888889,0.8617777777777778,0.8138888888888889,True,0.7851,0.029222222222222222,15,2,22.684329986572266,5.851316928863525,0.08948315680027008,0.3442554771900177,0.9960475564002991,-0.10984303802251816,0.09129925817251205,38.401695251464844,1.1154495477676392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.520270347595215,0.8065312504768372,0.1391061544418335,0.6071570515632629,0.9902774095535278,0.023900470415567105,-0.22909371554851532,0.026147186756134033,4.906581401824951,1.215412974357605,6.393253803253174,1.704619288444519,0.10435769706964493,0.39139607548713684,0.9945406317710876,0.07883225444912456,-0.16499553620815277,0.11338452249765396,13.753543853759766,1.0538837909698486,8.52444076538086,1.997704267501831,0.07340263575315475,0.3132071793079376,0.9973028898239136,0.14015828291372778,-0.10006149858236313,0.07935506105422974,16.102737426757812,1.0937237739562988,12.091622352600098,3.265807628631592,0.08917791396379471,0.33001279830932617,0.9960326552391052,0.28215269565471246,-0.07342693954706192,0.06994544714689255,21.064165115356445,1.1177412271499634,15.348567962646484,3.298924446105957,0.08022744208574295,0.37225341796875,0.9968045353889465,0.45653205716934653,-0.1102118119597435,0.10385717451572418,22.16077995300293,1.1558732986450195,3.091473340988159,2.3175933361053467,0.2109464704990387,0.2813847064971924,0.977497935295105,0.0184325567489837,-0.19915185868740082,0.1858542412519455,8.836774826049805,0.9961674809455872
cifar10_iid_resnet18,cifar10,resnet18,iid,3,fedup,1.0,cifar10_iid_resnet18/seed3/fedup_alpha1.00,0.7749,0.07088888888888889,0.942,0.8711111111111111,True,0.7706,0.027444444444444445,15,2,22.5916690826416,5.971182346343994,0.08961165696382523,0.33576446771621704,0.9959942698478699,-0.10573673993349075,0.0870223417878151,37.6713752746582,1.121817708015442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5353546142578125,1.3201757669448853,0.08694015443325043,0.23282065987586975,0.9962136149406433,0.024301025721949046,-0.18187639117240906,0.06879133731126785,4.054727077484131,1.2807285785675049,6.528782367706299,2.2394051551818848,0.08982653170824051,0.26187965273857117,0.9959580302238464,0.0828760556236718,-0.16258969902992249,0.11131730675697327,13.200339317321777,1.06513512134552,8.52264404296875,2.0866289138793945,0.07688692212104797,0.31402677297592163,0.9970405101776123,0.14123447863547275,-0.10122748464345932,0.07905838638544083,15.803133010864258,1.097986102104187,12.17343521118164,3.1377856731414795,0.08833275735378265,0.3425450325012207,0.9960994124412537,0.28829206486184744,-0.06867712736129761,0.06578682363033295,21.1553955078125,1.1205016374588013,15.00634479522705,3.1835596561431885,0.08417031168937683,0.3955570459365845,0.9964795112609863,0.4400826615458446,-0.10312820225954056,0.09242597222328186,21.748687744140625,1.1613773107528687,3.456024408340454,2.2080271244049072,0.2105730175971985,0.32959097623825073,0.9775779843330383,0.023222682422165925,-0.21879298985004425,0.19974425435066223,8.29514217376709,1.0035650730133057
cifar10_iid_resnet18,cifar10,resnet18,iid,4,fedup,1.0,cifar10_iid_resnet18/seed4/fedup_alpha1.00,0.7765,0.04855555555555555,0.9337777777777778,0.8852222222222222,True,0.7921,0.022444444444444444,15,2,22.69049072265625,5.7945990562438965,0.08709480613470078,0.3386596441268921,0.996280312538147,-0.10586942732334137,0.08949560672044754,38.05134201049805,1.119027018547058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6072328090667725,0.764811635017395,0.11127403378486633,0.524823784828186,0.9937897324562073,0.02507985950785103,-0.20926518738269806,0.0562371127307415,4.8951826095581055,1.2083593606948853,6.544321060180664,1.6727734804153442,0.10191550105810165,0.3987176716327667,0.9947928786277771,0.08254893108914502,-0.16616837680339813,0.11723797023296356,13.470714569091797,1.0592963695526123,8.488177299499512,2.0256874561309814,0.07727281749248505,0.32378286123275757,0.997012734413147,0.13888000376449552,-0.10301780700683594,0.07289353013038635,16.57892417907715,1.0897243022918701,12.099822998046875,3.0954713821411133,0.0805179551243782,0.3145979940891266,0.9967648983001709,0.28233978101223756,-0.07489784806966782,0.0667133703827858,21.09972381591797,1.1191232204437256,15.316926002502441,3.413954257965088,0.07987122237682343,0.357318639755249,0.9968346357345581,0.4543711969037024,-0.10217122733592987,0.10527496039867401,21.47212791442871,1.1657885313034058,2.95131254196167,2.2478227615356445,0.22727535665035248,0.29840466380119324,0.97383052110672,0.01678831918216335,-0.1580246537923813,0.16048991680145264,8.505873680114746,1.0044994354248047
